epoch,lr,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1e-05,1e-05,0.26491353390202854,0.4424203932285309,0.3871723413467407,3.388963652515016,0.027128862217068672,0.07080986350774765
2,5.5e-05,5.5e-05,0.10514760279693695,0.6426421403884888,0.55323725938797,1.0908005883034315,0.07686510682106018,0.11623186618089676
3,0.0001,0.0001,0.07532639895062307,0.7275463342666626,0.6726623773574829,0.9457897286758264,0.39412209391593933,0.21831883490085602
4,9.968875438971552e-05,9.968875438971552e-05,0.05501314534681942,0.7720576524734497,0.747282087802887,0.8529790376440061,0.3293142318725586,0.21209195256233215
5,9.875893165300026e-05,9.875893165300026e-05,0.03859859022799288,0.8029463291168213,0.7811962962150574,0.6567281194441105,0.3798040747642517,0.23762521147727966
6,9.722222485026419e-05,9.722222485026419e-05,0.030683079482343577,0.8219546675682068,0.8041648864746094,0.6557004035148031,0.38281840085983276,0.24319438636302948
7,9.509795896116974e-05,9.509795896116974e-05,0.022680733413522926,0.8419135212898254,0.8266566395759583,0.9559966125430788,0.37452900409698486,0.3144477903842926
8,9.241284786180005e-05,9.241284786180005e-05,0.020855723884306746,0.8566450476646423,0.8459811806678772,0.7088472315846481,0.5267520546913147,0.2650134563446045
9,8.920065838216747e-05,8.920065838216747e-05,0.020005952373835435,0.8670996427536011,0.8586438894271851,0.5405932204010415,0.5840241312980652,0.3669382929801941
10,8.550178566873408e-05,8.550178566873408e-05,0.017652316008151283,0.8563281893730164,0.8448489904403687,0.5616287535060682,0.4544084370136261,0.31971970200538635
11,8.13627451920073e-05,8.13627451920073e-05,0.011811257869664048,0.8808807134628296,0.8714267611503601,0.35236852366748156,0.660889208316803,0.38315528631210327
12,7.683558778750915e-05,7.683558778750915e-05,0.015413583907929485,0.8805639147758484,0.8752980828285217,0.3482679628158064,0.7317256927490234,0.35189446806907654
13,7.197724508631912e-05,7.197724508631912e-05,0.008017626401408158,0.8935529589653015,0.8879235982894897,0.3218338536209137,0.7219291925430298,0.445065975189209
14,6.684881356678078e-05,6.684881356678078e-05,0.00945336344590397,0.9062252640724182,0.9020839929580688,0.42643918969173483,0.6940467357635498,0.3733256161212921
15,6.151478623083756e-05,6.151478623083756e-05,0.009297812842355566,0.8995723128318787,0.8942443132400513,0.42379436447335034,0.6865109205245972,0.4199845492839813
16,5.604224156711373e-05,5.604224156711373e-05,0.005970250873792984,0.9165214896202087,0.9131523966789246,0.3706222805789025,0.7581009864807129,0.3989410996437073
17,5.05e-05,5.05e-05,0.007698127715347057,0.9120861887931824,0.9076038002967834,0.4697447137995928,0.7000753283500671,0.35880231857299805
18,4.4957758432886274e-05,4.4957758432886274e-05,0.002926687108029314,0.9318865537643433,0.9304667711257935,0.3263078803066767,0.8108515739440918,0.45733359456062317
19,3.948521376916244e-05,3.948521376916244e-05,0.0037054428965131374,0.9263424873352051,0.9244726896286011,0.3492756877717158,0.8003014326095581,0.47784462571144104
20,3.4151186433219223e-05,3.4151186433219223e-05,0.002603727129716818,0.9310945868492126,0.9292484521865845,0.42275143086653366,0.850037693977356,0.4657987654209137
21,2.9022754913680878e-05,2.9022754913680878e-05,0.003613559968788904,0.9405987858772278,0.939595639705658,0.47437758900082905,0.8070836663246155,0.4326767027378082
22,2.4164412212490847e-05,2.4164412212490847e-05,0.0018849057929013467,0.94455885887146,0.9426201581954956,0.46919984933318826,0.8108515739440918,0.4638819098472595
23,1.9637254807992694e-05,1.9637254807992694e-05,0.0025433405553010077,0.9467765092849731,0.9461697340011597,0.50207301506288,0.7882441878318787,0.44987255334854126
24,1.54982143312659e-05,1.54982143312659e-05,0.0019018425112155596,0.940757155418396,0.9398499727249146,0.485377161959363,0.8191409111022949,0.43951600790023804
25,1.1799341617832541e-05,1.1799341617832541e-05,0.0012419586279452085,0.9594487547874451,0.9581295251846313,0.5009283336151575,0.8078372478485107,0.4335963726043701
26,8.587152138199936e-06,8.587152138199936e-06,0.0011964714894288687,0.9550134539604187,0.9546707272529602,0.5248553038981081,0.8726450800895691,0.43604934215545654
